My own NFA
+,-,E,0,1,2,3,4,5,6,7,8,9
q1,q2,q3,q4,q5,q6,q7,q8,q9
q1
q5,q9
q1,+,q2
q1,-,q2
q1,~,q2
q2,0,q4
q2,1,q3
q2,2,q3
q2,3,q3
q2,4,q3
q2,5,q3
q2,6,q3
q2,7,q3
q2,8,q3
q2,9,q3
q2,1,q6
q2,2,q6
q2,3,q6
q2,4,q6
q2,5,q6
q2,6,q6
q2,7,q6
q2,8,q6
q2,9,q6
q3,0,q3
q3,1,q3
q3,2,q3
q3,3,q3
q3,4,q3
q3,5,q3
q3,6,q3
q3,7,q3
q3,8,q3
q3,9,q3
q3,~,q4
q3,~,q5
q4,.,q5
q5,0,q5
q5,1,q5
q5,2,q5
q5,3,q5
q5,4,q5
q5,5,q5
q5,6,q5
q5,7,q5
q5,8,q5
q5,9,q5
q6,.,q7
q7,0,q7
q7,1,q7
q7,2,q7
q7,3,q7
q7,4,q7
q7,5,q7
q7,6,q7
q7,7,q7
q7,8,q7
q7,9,q7
q7,E,q8
q8,1,q9
q8,2,q9
q8,3,q9
q8,4,q9
q8,5,q9
q8,6,q9
q8,7,q9
q8,8,q9
q8,9,q9
q9,0,q9
q9,1,q9
q9,2,q9
q9,3,q9
q9,4,q9
q9,5,q9
q9,6,q9
q9,7,q9
q9,8,q9
q9,9,q9
